Accession	Organism	Kingdom	Sequence length	SP cleavage	N-term transmembrane
Q9U8D1	Olivierus martensii	Metazoa	56	28.0	
P49259	Bos taurus	Metazoa	1463	20.0	
Q6X4U4	Homo sapiens	Metazoa	206	23.0	
P0DKU2	Pandinus imperator	Metazoa	145	15.0	
Q00193	Oryctolagus cuniculus	Metazoa	540	24.0	
C4NZN9	Hyas araneus	Metazoa	131	16.0	
P25116	Homo sapiens	Metazoa	425	21.0	
P98066	Homo sapiens	Metazoa	277	17.0	
Q9GSA4	Galleria mellonella	Metazoa	113	19.0	
Q8T9R8	Stomoxys calcitrans	Metazoa	67	24.0	
Q9P0V8	Homo sapiens	Metazoa	285	22.0	
Q96DU3	Homo sapiens	Metazoa	332	21.0	
P81054	Grifola frondosa	Fungi	348	18.0	
Q8WPJ2	Mytilus edulis	Metazoa	367	17.0	
Q9R1T7	Rattus norvegicus	Metazoa	200	20.0	
Q9UIK5	Homo sapiens	Metazoa	374	40.0	
P18761	Mus musculus	Metazoa	317	17.0	
C0HLA0	Chamaecyparis obtusa	Viridiplantae	556	28.0	
P0C1X6	Tityus discrepans	Metazoa	62	26.0	
P01500	Apis mellifera	Metazoa	46	27.0	
Q9U8X3	Tachypleus tridentatus	Metazoa	67	23.0	
Q28862	Bos taurus	Metazoa	310	16.0	
Q61508	Mus musculus	Metazoa	559	19.0	
Q6UWY5	Homo sapiens	Metazoa	402	28.0	
Q62192	Mus musculus	Metazoa	661	20.0	
P0DQC1	Scolopendra dehaani	Metazoa	92	20.0	
P0DSJ6	Myrmecia gulosa	Metazoa	62	24.0	
P15247	Mus musculus	Metazoa	144	18.0	
P34998	Homo sapiens	Metazoa	415	23.0	
P52706	Prunus serotina	Viridiplantae	563	27.0	
O80323	Pyrus pyrifolia	Viridiplantae	222	22.0	
Q9UHF4	Homo sapiens	Metazoa	553	29.0	
I3LGZ3	Sus scrofa	Metazoa	81	24.0	
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17.0	
Q9TW32	Dictyostelium discoideum	Other	197	22.0	
Q4V645	Drosophila melanogaster	Metazoa	108	29.0	
Q924B5	Rattus norvegicus	Metazoa	250	25.0	
P07439	Megabalanus rosa	Metazoa	162	24.0	
Q9Y2I2	Homo sapiens	Metazoa	539	28.0	
P11150	Homo sapiens	Metazoa	499	22.0	
Q9Y251	Homo sapiens	Metazoa	543	35.0	
P26780	Sinapis alba	Viridiplantae	99	30.0	
P55057	Oryctolagus cuniculus	Metazoa	124	27.0	
Q9Z0M9	Mus musculus	Metazoa	193	28.0	
P25236	Rattus norvegicus	Metazoa	385	19.0	
P34115	Dictyostelium discoideum	Other	730	20.0	
P36897	Homo sapiens	Metazoa	503	33.0	
P38574	Bos taurus	Metazoa	287	18.0	
P05790	Bombyx mori	Metazoa	5263	21.0	
U6BLZ9	Penicillium canescens	Fungi	463	26.0	
Q8N441	Homo sapiens	Metazoa	504	24.0	
P15226	Tityus serrulatus	Metazoa	84	20.0	
P25404	Mirabilis jalapa	Viridiplantae	63	27.0	
P05160	Homo sapiens	Metazoa	661	20.0	
Q41161	Robinia pseudoacacia	Viridiplantae	285	31.0	
P20774	Homo sapiens	Metazoa	298	20.0	
Q9H1M4	Homo sapiens	Metazoa	99	20.0	
Q76FB0	Cyanidium caldarium	Other	155	20.0	
P26010	Homo sapiens	Metazoa	798	19.0	
P69770	Conus marmoreus	Metazoa	94	25.0	
P22362	Homo sapiens	Metazoa	96	23.0	
Q01638	Homo sapiens	Metazoa	556	18.0	
P07457	Zoarces americanus	Metazoa	87	22.0	
Q7Z0T3	Aplysia californica	Metazoa	125	22.0	
P93484	Pisum sativum	Viridiplantae	623	22.0	
Q8N126	Homo sapiens	Metazoa	398	24.0	
P52823	Homo sapiens	Metazoa	247	17.0	
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Viridiplantae	274	25.0	
Q8WUJ3	Homo sapiens	Metazoa	1361	30.0	
P54660	Dictyostelium discoideum	Other	143	22.0	
P14384	Homo sapiens	Metazoa	443	17.0	
Q4W1I9	Zinnia elegans	Viridiplantae	321	30.0	
P04844	Homo sapiens	Metazoa	631	22.0	
Q05895	Mus musculus	Metazoa	956	21.0	
P01297	Sus scrofa	Metazoa	121	24.0	
P35578	Zootoca vivipara	Metazoa	172	21.0	
Q09022	Xenopus laevis	Metazoa	84	18.0	
F1RRV3	Sus scrofa	Metazoa	2692	19.0	
Q9PVW8	Silurus asotus	Metazoa	308	23.0	
Q8L5J1	Solanum lycopersicum	Viridiplantae	399	26.0	
Q6GU94	Centruroides limpidus	Metazoa	56	24.0	
P15270	Dictyostelium discoideum	Other	424	23.0	
Q76BW5	Oryza sativa subsp. japonica	Viridiplantae	290	25.0	
P04937	Rattus norvegicus	Metazoa	2477	24.0	
P18657	Macaca fascicularis	Metazoa	83	26.0	
P18684	Protophormia terraenovae	Metazoa	101	18.0	
Q52085	Heterostelium pallidum	Other	320	19.0	
Q76CE8	Typhula ishikariensis	Fungi	243	20.0	
O95633	Homo sapiens	Metazoa	263	26.0	
P22327	Trichoplusia ni	Metazoa	624	18.0	
Q64HC7	Armadillidium vulgare	Metazoa	73	19.0	
P20068	Rattus norvegicus	Metazoa	169	22.0	
P82358	Acanthoscurria gomesiana	Metazoa	84	23.0	
Q6IUU3	Rattus norvegicus	Metazoa	750	32.0	
Q6T6C1	Theromyzon tessulatum	Metazoa	107	21.0	
P01830	Rattus norvegicus	Metazoa	161	19.0	
P15289	Homo sapiens	Metazoa	507	18.0	
P58154	Lymnaea stagnalis	Metazoa	229	19.0	
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20.0	
Q61789	Mus musculus	Metazoa	3330	31.0	
P24817	Momordica charantia	Viridiplantae	286	23.0	
A6XMY0	Hyas araneus	Metazoa	64	25.0	
O14786	Homo sapiens	Metazoa	923	21.0	
Q16568	Homo sapiens	Metazoa	116	27.0	
P80188	Homo sapiens	Metazoa	198	20.0	
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	18.0	
P13725	Homo sapiens	Metazoa	252	25.0	
Q9BQ51	Homo sapiens	Metazoa	273	19.0	
Q27085	Tachypleus tridentatus	Metazoa	418	24.0	
Q13145	Homo sapiens	Metazoa	260	20.0	
Q8JFQ0	Bombina maxima	Metazoa	96	19.0	
A6MEY4	Bungarus fasciatus	Metazoa	145	27.0	
P18181	Mus musculus	Metazoa	240	22.0	
A1IKL2	Anisakis simplex	Metazoa	152	18.0	
O94985	Homo sapiens	Metazoa	981	28.0	
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26.0	
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18.0	
Q9LLT1	Juniperus virginiana	Viridiplantae	367	21.0	
Q61400	Mus musculus	Metazoa	265	33.0	
Q875I9	Aspergillus fumigatus	Fungi	238	17.0	
P16636	Rattus norvegicus	Metazoa	411	21.0	
P35495	Sus scrofa	Metazoa	133	24.0	
Q9UK23	Homo sapiens	Metazoa	515	25.0	
O14773	Homo sapiens	Metazoa	563	19.0	
O43278	Homo sapiens	Metazoa	529	35.0	
P23389	Bos taurus	Metazoa	646	20.0	
P07507	Bos taurus	Metazoa	103	19.0	
Q6UWN5	Homo sapiens	Metazoa	251	25.0	
Q9H9K5	Homo sapiens	Metazoa	563	26.0	
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24.0	
Q99372	Rattus norvegicus	Metazoa	870	27.0	
P58912	Phyllodiscus semoni	Metazoa	488	21.0	
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21.0	
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19.0	
P15261	Mus musculus	Metazoa	477	25.0	
P11215	Homo sapiens	Metazoa	1152	16.0	
Q07092	Homo sapiens	Metazoa	1604	21.0	
Q9NPR2	Homo sapiens	Metazoa	837	43.0	
Q0P569	Bos taurus	Metazoa	474	24.0	
A0A0F7YZQ7	Conus victoriae	Metazoa	100	24.0	
O60931	Homo sapiens	Metazoa	367	22.0	
Q96F46	Homo sapiens	Metazoa	866	32.0	
P01903	Homo sapiens	Metazoa	254	25.0	
P30440	Felis catus	Metazoa	109	17.0	
P06865	Homo sapiens	Metazoa	529	22.0	
P0DUT6	Doratifera vulnerans	Metazoa	66	20.0	
P10764	Ovis aries	Metazoa	179	24.0	
A5HAK0	Danio rerio	Metazoa	149	22.0	
P29241	Aplysia californica	Metazoa	282	24.0	
P67861	Daboia russelii	Metazoa	144	24.0	
Q92154	Coturnix japonica	Metazoa	620	17.0	
P02765	Homo sapiens	Metazoa	367	18.0	
Q61885	Mus musculus	Metazoa	246	28.0	
Q8VCS0	Mus musculus	Metazoa	530	22.0	
P80961	Myoxocephalus octodecemspinosus	Metazoa	128	20.0	
P13691	Hordeum vulgare	Viridiplantae	152	30.0	
P30919	Rattus norvegicus	Metazoa	345	23.0	
Q9UAH3	Pinctada fucata	Metazoa	129	23.0	
Q969P0	Homo sapiens	Metazoa	613	27.0	
P85261	Actinidia chinensis var. chinensis	Viridiplantae	213	24.0	
C0HL38	Trichonephila clavata	Metazoa	60	19.0	
Q08481	Mus musculus	Metazoa	727	17.0	
P17697	Bos taurus	Metazoa	439	19.0	
P33577	Petromyzon marinus	Metazoa	119	19.0	
O75629	Homo sapiens	Metazoa	220	31.0	
P02743	Homo sapiens	Metazoa	223	19.0	
P26202	Oryctolagus cuniculus	Metazoa	137	20.0	
P02659	Gallus gallus	Metazoa	106	24.0	
P24792	Cucurbita maxima	Viridiplantae	579	30.0	
O48818	Arabidopsis thaliana	Viridiplantae	257	20.0	
Q28173	Bos taurus	Metazoa	416	22.0	
O18998	Oryctolagus cuniculus	Metazoa	281	21.0	
Q29422	Ovis aries	Metazoa	333	20.0	
Q8NC67	Homo sapiens	Metazoa	525	22.0	
P03998	Limulus polyphemus	Metazoa	195	20.0	
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26.0	
Q42502	Solanum tuberosum	Viridiplantae	386	23.0	
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24.0	
P19324	Mus musculus	Metazoa	417	17.0	
P20013	Trametes versicolor	Fungi	372	26.0	
Q7M3V1	Chelonus sp. nr. curvimaculatus	Metazoa	246	20.0	
O76537	Trichoplusia ni	Metazoa	182	16.0	
P28088	Bos taurus	Metazoa	441	26.0	
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29.0	
W1I921	Achatina achatina	Metazoa	184	26.0	
P26732	Bombyx mori	Metazoa	92	19.0	
Q6UWJ8	Homo sapiens	Metazoa	174	29.0	
P83313	Opistophthalmus carinatus	Metazoa	82	22.0	
P17813	Homo sapiens	Metazoa	658	25.0	
Q05091	Pyrus communis	Viridiplantae	330	24.0	
P47710	Homo sapiens	Metazoa	185	15.0	
Q9BX59	Homo sapiens	Metazoa	468	18.0	
Q969H8	Homo sapiens	Metazoa	173	31.0	
P86009	Dromaius novaehollandiae	Metazoa	238	17.0	
P45478	Bos taurus	Metazoa	306	27.0	
Q8WWA0	Homo sapiens	Metazoa	313	18.0	
P17715	Octodon degus	Metazoa	109	24.0	
Q9GZX6	Homo sapiens	Metazoa	179	33.0	
Q53B52	Ophiophagus hannah	Metazoa	78	21.0	
Q5UCC4	Homo sapiens	Metazoa	262	25.0	
O95813	Homo sapiens	Metazoa	267	17.0	
O70280	Rattus norvegicus	Metazoa	212	26.0	
P10257	Oncorhynchus keta	Metazoa	137	24.0	
P08833	Homo sapiens	Metazoa	259	25.0	
O61668	Olivierus martensii	Metazoa	88	18.0	
P0DQE1	Scolopendra dehaani	Metazoa	109	23.0	
Q8TCT8	Homo sapiens	Metazoa	520	25.0	
E9NX73	Fagopyrum tataricum	Viridiplantae	149	22.0	
P29026	Rhizopus oligosporus	Fungi	540	22.0	
P21570	Mus musculus	Metazoa	145	24.0	
Q99519	Homo sapiens	Metazoa	415	47.0	
Q8SXL2	Drosophila melanogaster	Metazoa	136	24.0	
Q39649	Cucurbita maxima	Viridiplantae	141	22.0	
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	690	20.0	
P02780	Rattus norvegicus	Metazoa	95	18.0	
O08795	Mus musculus	Metazoa	521	14.0	
C7G3K3	Liocheles australasiae	Metazoa	80	21.0	
P01538	Viscum album	Viridiplantae	111	26.0	
Q9Y5Q6	Homo sapiens	Metazoa	135	22.0	
Q9QYH7	Rattus norvegicus	Metazoa	117	23.0	
P59665	Homo sapiens	Metazoa	94	19.0	
P17690	Bos taurus	Metazoa	345	19.0	
P55899	Homo sapiens	Metazoa	365	23.0	
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23.0	
Q50KB1	Emiliania huxleyi	Other	223	17.0	
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17.0	
P19069	Cavia porcellus	Metazoa	1742	19.0	
P02760	Homo sapiens	Metazoa	352	19.0	
O76818	Agrotis ipsilon	Metazoa	193	19.0	
Q9UKZ9	Homo sapiens	Metazoa	415	23.0	
Q99944	Homo sapiens	Metazoa	293	25.0	
P05560	Dromaius novaehollandiae	Metazoa	207	23.0	
Q95P90	Olivierus martensii	Metazoa	94	22.0	
P0DUS5	Doratifera vulnerans	Metazoa	57	24.0	
Q653V7	Oryza sativa subsp. japonica	Viridiplantae	885	33.0	
Q06KA2	Phlebotomus duboscqi	Metazoa	249	19.0	
P19035	Bos taurus	Metazoa	96	23.0	
P11717	Homo sapiens	Metazoa	2491	40.0	
Q7KRU8	Drosophila melanogaster	Metazoa	205	19.0	
Q84V39	Olea europaea	Viridiplantae	123	21.0	
Q8HYA9	Sus scrofa	Metazoa	185	20.0	
P19594	Glycine max	Viridiplantae	158	21.0	
P13727	Homo sapiens	Metazoa	222	16.0	
Q8WP90	Solenopsis invicta	Metazoa	153	19.0	
P01027	Mus musculus	Metazoa	1663	24.0	
Q6XE38	Homo sapiens	Metazoa	83	21.0	
Q9SUQ8	Arabidopsis thaliana	Viridiplantae	187	29.0	
O62605	Galleria mellonella	Metazoa	218	16.0	
Q28989	Sus scrofa	Metazoa	421	26.0	
P55000	Homo sapiens	Metazoa	103	22.0	
Q8NI17	Homo sapiens	Metazoa	732	19.0	
O75462	Homo sapiens	Metazoa	422	37.0	
P01139	Mus musculus	Metazoa	241	18.0	
P16882	Mus musculus	Metazoa	650	24.0	
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22.0	
P01038	Gallus gallus	Metazoa	139	23.0	
P48747	Oryctolagus cuniculus	Metazoa	557	21.0	
P21828	Bombyx mori	Metazoa	262	16.0	
G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19.0	
P80513	Bos taurus	Metazoa	179	21.0	
P42098	Sus scrofa	Metazoa	421	22.0	
O60602	Homo sapiens	Metazoa	858	20.0	
P59938	Olivierus martensii	Metazoa	57	21.0	
B0JFB8	Antheraea mylitta	Metazoa	105	19.0	
Q6RG02	Penaeus merguiensis	Metazoa	2586	18.0	
P02810	Homo sapiens	Metazoa	166	16.0	
P15196	Oryctolagus cuniculus	Metazoa	398	31.0	
P01131	Bos taurus	Metazoa	845	21.0	
Q9ZT66	Zea mays	Viridiplantae	303	43.0	
Q969Z4	Homo sapiens	Metazoa	430	25.0	
Q9NSA1	Homo sapiens	Metazoa	209	28.0	
P08796	Dictyostelium discoideum	Other	514	19.0	
C9K4X8	Patiria pectinifera	Metazoa	116	29.0	
Q9NQ34	Homo sapiens	Metazoa	198	33.0	
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17.0	
Q6UW32	Homo sapiens	Metazoa	110	24.0	
A7VN15	Protobothrops flavoviridis	Metazoa	79	19.0	
O95715	Homo sapiens	Metazoa	111	34.0	
P38660	Mesocricetus auratus	Metazoa	439	19.0	
Q63415	Rattus norvegicus	Metazoa	937	45.0	
P05164	Homo sapiens	Metazoa	745	48.0	
Q13007	Homo sapiens	Metazoa	206	51.0	
Q02083	Homo sapiens	Metazoa	359	28.0	
Q60GF7	Rattus norvegicus	Metazoa	252	22.0	
P10124	Homo sapiens	Metazoa	158	27.0	
P51460	Homo sapiens	Metazoa	131	20.0	
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51.0	
G3MYZ3	Bos taurus	Metazoa	604	21.0	
P14925	Rattus norvegicus	Metazoa	976	25.0	
P14770	Homo sapiens	Metazoa	177	16.0	
P26842	Homo sapiens	Metazoa	260	19.0	
O46167	Eratigena agrestis	Metazoa	68	17.0	
P20160	Homo sapiens	Metazoa	251	19.0	
Q8WML4	Bos taurus	Metazoa	580	22.0	
P0CS93	Gibberella zeae	Fungi	680	24.0	
Q5WPZ4	Lutzomyia longipalpis	Metazoa	115	22.0	
P24052	Gallus gallus	Metazoa	142	21.0	
P04639	Rattus norvegicus	Metazoa	259	18.0	
C0H9B6	Salmo salar	Metazoa	413	19.0	
O55038	Mus musculus	Metazoa	109	21.0	
O35806	Rattus norvegicus	Metazoa	1764	35.0	
P02649	Homo sapiens	Metazoa	317	18.0	
Q9Y279	Homo sapiens	Metazoa	399	19.0	
P30659	Lutzomyia longipalpis	Metazoa	86	23.0	
Q8NAC3	Homo sapiens	Metazoa	791	20.0	
Q15399	Homo sapiens	Metazoa	786	24.0	
Q6UX52	Homo sapiens	Metazoa	265	20.0	
P10762	Locusta migratoria	Metazoa	179	16.0	
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25.0	
O97939	Sus scrofa	Metazoa	1142	38.0	
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15.0	
K9N4Q4	Phlebotomus papatasi	Metazoa	246	23.0	
Q13231	Homo sapiens	Metazoa	466	21.0	
B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19.0	
P18428	Homo sapiens	Metazoa	481	25.0	
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23.0	
Q9P246	Homo sapiens	Metazoa	746	14.0	
Q3L1D1	Agaricus bisporus	Fungi	594	25.0	
P27797	Homo sapiens	Metazoa	417	17.0	
P31608	Sagittaria sagittifolia	Viridiplantae	181	24.0	
P33487	Arabidopsis thaliana	Viridiplantae	198	33.0	
B2NHN2	Talaromyces funiculosus	Fungi	339	20.0	
Q9Y4X3	Homo sapiens	Metazoa	112	24.0	
P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20.0	
P02779	Oryctolagus cuniculus	Metazoa	91	21.0	
P00450	Homo sapiens	Metazoa	1065	19.0	
I1SB12	Microdochium nivale	Fungi	495	22.0	
Q15768	Homo sapiens	Metazoa	340	27.0	
P0C8G6	Pomacea canaliculata	Metazoa	565	26.0	
P04275	Homo sapiens	Metazoa	2813	22.0	
Q9V496	Drosophila melanogaster	Metazoa	3351	25.0	
P20062	Homo sapiens	Metazoa	427	18.0	
Q589G4	Anoplius samariensis	Metazoa	75	17.0	
Q28143	Bos taurus	Metazoa	456	35.0	
P19876	Homo sapiens	Metazoa	107	34.0	
Q8X150	Gaeumannomyces tritici	Fungi	618	16.0	
Q8MVA6	Ixodes scapularis	Metazoa	69	23.0	
Q5MJP5	Anuroctonus phaiodactylus	Metazoa	90	18.0	
Q9P2K2	Homo sapiens	Metazoa	825	27.0	
P28825	Mus musculus	Metazoa	747	20.0	
Q07654	Homo sapiens	Metazoa	80	21.0	
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23.0	
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15.0	
D3Z9M3	Rattus norvegicus	Metazoa	109	16.0	
Q9BWV1	Homo sapiens	Metazoa	1114	30.0	
Q43413	Capsicum annuum	Viridiplantae	75	27.0	
Q867W1	Procambarus clarkii	Metazoa	76	27.0	
P81941	Pseudopleuronectes americanus	Metazoa	68	22.0	
Q24824	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	96	19.0	
O76076	Homo sapiens	Metazoa	250	23.0	
Q06KA5	Phlebotomus duboscqi	Metazoa	142	20.0	
K9L4P7	Penicillium chrysogenum	Fungi	604	18.0	
P09479	Gallus gallus	Metazoa	456	20.0	
A0A5C2A2T2	Conus purpurascens	Metazoa	178	24.0	
P35053	Rattus norvegicus	Metazoa	558	23.0	
P15570	Phytophthora cryptogea	Other	118	20.0	
P23044	Robillarda sp. (strain Y-20)	Fungi	385	17.0	
P02774	Homo sapiens	Metazoa	474	16.0	
P09470	Mus musculus	Metazoa	1312	34.0	
Q6UXH1	Homo sapiens	Metazoa	353	24.0	
P21978	Leishmania amazonensis	Other	476	32.0	
P12729	Dictyostelium discoideum	Other	168	19.0	
Q805F3	Xenopus laevis	Metazoa	397	16.0	
Q96BF3	Homo sapiens	Metazoa	282	22.0	
Q00954	Rattus norvegicus	Metazoa	218	18.0	
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19.0	
O64392	Triticum aestivum	Viridiplantae	146	21.0	
P0DL40	Vespa magnifica	Metazoa	67	21.0	
Q1XG90	Crassostrea virginica	Metazoa	135	18.0	
P25068	Bos taurus	Metazoa	64	26.0	
P34951	Hordeum vulgare	Viridiplantae	143	24.0	
Q76FP5	Hypocrea rufa	Fungi	479	20.0	
P32358	Bombyx mori	Metazoa	579	15.0	
O00105	Aspergillus niger	Fungi	564	19.0	
Q06K61	Phlebotomus duboscqi	Metazoa	516	20.0	
Q00870	Fusarium solani subsp. phaseoli	Fungi	350	19.0	
Q6IWZ0	Aplysia californica	Metazoa	535	18.0	
P25291	Canis lupus familiaris	Metazoa	509	21.0	
O96059	Bombyx mori	Metazoa	66	24.0	
Q62632	Rattus norvegicus	Metazoa	306	18.0	
Q08127	Anguilla anguilla	Metazoa	147	20.0	
Q25055	Holotrichia diomphalia	Metazoa	104	20.0	
Q8NBJ9	Homo sapiens	Metazoa	832	18.0	
Q9BX74	Homo sapiens	Metazoa	207	37.0	
P13204	Bos taurus	Metazoa	129	26.0	
P20656	Saponaria officinalis	Viridiplantae	299	24.0	
Q08334	Homo sapiens	Metazoa	325	19.0	
P05367	Mus musculus	Metazoa	122	19.0	
P15309	Homo sapiens	Metazoa	386	32.0	
P80370	Homo sapiens	Metazoa	383	23.0	
Q9H6E4	Homo sapiens	Metazoa	229	22.0	
P61312	Rattus norvegicus	Metazoa	146	25.0	
Q9Z1K9	Rattus norvegicus	Metazoa	827	17.0	
P02701	Gallus gallus	Metazoa	152	24.0	
Q4V4I9	Drosophila melanogaster	Metazoa	182	22.0	
Q6UX27	Homo sapiens	Metazoa	236	16.0	
P06911	Rattus norvegicus	Metazoa	188	19.0	
P09619	Homo sapiens	Metazoa	1106	32.0	
P11919	Manduca sexta	Metazoa	88	26.0	
D7UQ40	Alternaria solani	Fungi	515	25.0	
Q9XYT4	Cryptorchestia cavimana	Metazoa	128	20.0	
F1N5C8	Bos taurus	Metazoa	445	22.0	
Q8H8C7	Oryza sativa subsp. japonica	Viridiplantae	356	28.0	
P01168	Sus scrofa	Metazoa	116	24.0	
O93233	Gloydius brevicaudus siniticus	Metazoa	331	23.0	
Q9GQV7	Aedes aegypti	Metazoa	128	22.0	
P82143	Gloydius brevicaudus siniticus	Metazoa	200	19.0	
P15450	Apis mellifera	Metazoa	53	19.0	
Q27441	Aplysia californica	Metazoa	92	21.0	
O43155	Homo sapiens	Metazoa	660	35.0	
P07141	Mus musculus	Metazoa	552	32.0	
P17164	Rattus norvegicus	Metazoa	462	28.0	
P02466	Rattus norvegicus	Metazoa	1372	22.0	
P10820	Mus musculus	Metazoa	554	20.0	
P04706	Zea mays	Viridiplantae	223	19.0	
P84843	Hybomitra bimaculata	Metazoa	76	20.0	
Q8I817	Aplysia californica	Metazoa	88	19.0	
Q63372	Rattus norvegicus	Metazoa	1530	30.0	
P29794	Canis lupus familiaris	Metazoa	180	20.0	
P83508	Cavia porcellus	Metazoa	170	16.0	
P22301	Homo sapiens	Metazoa	178	18.0	
Q9NYY1	Homo sapiens	Metazoa	176	24.0	
O55232	Rattus norvegicus	Metazoa	130	32.0	
P02652	Homo sapiens	Metazoa	100	18.0	
O42807	Aspergillus niger	Fungi	281	21.0	
Q9NJ98	Manduca sexta	Metazoa	487	19.0	
Q8TAL6	Homo sapiens	Metazoa	211	18.0	
Q95UE8	Lucilia cuprina	Metazoa	220	19.0	
P51654	Homo sapiens	Metazoa	580	24.0	
Q8MUP7	Ixodes scapularis	Metazoa	102	21.0	
