Accession	Organism	Kingdom	Sequence length	SP cleavage	N-term transmembrane
O35701	Mus musculus	Metazoa	481	27.0	
Q62813	Rattus norvegicus	Metazoa	338	28.0	
P11654	Rattus norvegicus	Metazoa	1886	25.0	
P22388	Rattus norvegicus	Metazoa	202	25.0	
P24807	Mus musculus	Metazoa	76	26.0	
P27773	Mus musculus	Metazoa	505	24.0	
P55203	Bos taurus	Metazoa	1110	56.0	
Q00657	Rattus norvegicus	Metazoa	2326	29.0	
Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19.0	
Q23997	Drosophila melanogaster	Metazoa	452	18.0	
Q9R100	Mus musculus	Metazoa	827	25.0	
Q9VH14	Drosophila melanogaster	Metazoa	210	27.0	
A0A7J6K7I9	Toxoplasma gondii	Other	553	64.0	
O64411	Zea mays	Viridiplantae	500	28.0	
P01269	Sus scrofa	Metazoa	115	25.0	
P0C1B3	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	499	21.0	
P22412	Sus scrofa	Metazoa	409	16.0	
P42292	Gallus gallus	Metazoa	588	33.0	
P48819	Sus scrofa	Metazoa	459	19.0	
P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14.0	
A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21.0	
F1NSM7	Gallus gallus	Metazoa	743	18.0	
P79208	Ovis aries	Metazoa	603	16.0	
Q84ZX5	Artemisia vulgaris	Viridiplantae	132	24.0	
C0HKM3	Conus purpurascens	Metazoa	458	18.0	
O01949	Aedes aegypti	Metazoa	273	19.0	
P01165	Sus scrofa	Metazoa	207	22.0	
P14448	Gallus gallus	Metazoa	741	18.0	
P19425	Aedes aegypti	Metazoa	97	19.0	
P20507	Chlamydomonas reinhardtii	Viridiplantae	377	20.0	
P23631	Latrodectus tredecimguttatus	Metazoa	1401	20.0	
P81058	Penaeus vannamei	Metazoa	82	19.0	
Q27309	Bombyx mori	Metazoa	1782	15.0	
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32.0	
O18330	Apis mellifera	Metazoa	432	19.0	
P81383	Ophiophagus hannah	Metazoa	491	20.0	
Q9YH85	Gallus gallus	Metazoa	2120	24.0	
E0D877	Aedes albopictus	Metazoa	564	25.0	
P29022	Zea mays	Viridiplantae	280	25.0	
P79263	Sus scrofa	Metazoa	921	27.0	
Q29486	Felis catus	Metazoa	524	17.0	
Q8WZI8	Aspergillus niger	Fungi	521	17.0	
Q5FWE3	Homo sapiens	Metazoa	981	27.0	
Q6UWV2	Homo sapiens	Metazoa	235	31.0	
Q96S96	Homo sapiens	Metazoa	227	22.0	
Q9BX93	Homo sapiens	Metazoa	195	19.0	
Q9HB40	Homo sapiens	Metazoa	452	26.0	
Q6UXK5	Homo sapiens	Metazoa	716	25.0	
D4A540	Rattus norvegicus	Metazoa	148	31.0	
P21837	Dictyostelium discoideum	Other	550	19.0	
Q9LJD9	Arabidopsis thaliana	Viridiplantae	60	27.0	
G5EC68	Caenorhabditis elegans	Metazoa	85	17.0	
P04557	Bos taurus	Metazoa	140	25.0	
Q5PP12	Arabidopsis thaliana	Viridiplantae	69	25.0	
Q95121	Bos taurus	Metazoa	416	20.0	
P02783	Rattus norvegicus	Metazoa	112	21.0	
Q10E50	Oryza sativa subsp. japonica	Viridiplantae	163	43.0	
Q10NX8	Oryza sativa subsp. japonica	Viridiplantae	858	30.0	
P18892	Bos taurus	Metazoa	526	26.0	
Q18184	Caenorhabditis elegans	Metazoa	89	23.0	
A0A2I6QB00	Trametes coccinea (strain BRFM310)	Fungi	418	18.0	
O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32.0	
P80022	Solanum lycopersicum	Viridiplantae	230	25.0	
Q12546	Aspergillus ficuum	Fungi	614	22.0	
Q6TPK4	Actinidia deliciosa	Viridiplantae	116	26.0	
Q7ZZN8	Naja atra	Metazoa	238	19.0	
Q9U943	Locusta migratoria	Metazoa	3380	21.0	
P0C8E8	Rhipicephalus sanguineus	Metazoa	86	20.0	
P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25.0	
P48816	Bombyx mori	Metazoa	137	18.0	
P67876	Aspergillus restrictus	Fungi	176	27.0	
P80060	Locusta migratoria	Metazoa	92	19.0	
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18.0	
F7J1C8	Flammulina velutipes	Fungi	249	21.0	
I6S7G5	Scolopendra mutilans	Metazoa	84	16.0	
O02826	Sus scrofa	Metazoa	111	20.0	
P01070	Glycine max	Viridiplantae	216	24.0	
P06205	Limulus polyphemus	Metazoa	242	24.0	
P09791	Trypanosoma brucei brucei	Other	129	27.0	
P18709	Xenopus laevis	Metazoa	1807	15.0	
Q5B833	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	387	24.0	
Q7M418	Oligobrachia mashikoi	Metazoa	163	16.0	
Q7Q7R8	Anopheles gambiae	Metazoa	89	29.0	
Q8T0W8	Gastrophysa atrocyanea	Metazoa	65	24.0	
A0A0R4I951	Scolopendra dehaani	Metazoa	70	23.0	
A1X159	Perna viridis	Metazoa	431	20.0	
B0FHH8	Manduca sexta	Metazoa	151	18.0	
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26.0	
P0DQP8	Cerrophidion godmani	Metazoa	166	19.0	
P20757	Ovis aries	Metazoa	476	24.0	
Q16927	Aedes aegypti	Metazoa	2169	46.0	
Q5B428	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	244	23.0	
Q75WF2	Acanthaster planci	Metazoa	358	26.0	
Q90W22	Aquarana catesbeiana	Metazoa	114	24.0	
Q94637	Oscheius tipulae	Metazoa	1648	15.0	
Q95NK7	Olivierus martensii	Metazoa	54	23.0	
P34746	Oreochromis mossambicus	Metazoa	204	17.0	
P69241	Raphanus sativus	Viridiplantae	80	29.0	
Q1HAY7	Holotrichia diomphalia	Metazoa	317	23.0	
Q5EPH2	Rhipicephalus bursa	Metazoa	97	22.0	
O95157	Homo sapiens	Metazoa	252	22.0	
Q6UWI4	Homo sapiens	Metazoa	295	33.0	
P01174	Rattus norvegicus	Metazoa	137	19.0	
P09586	Mus musculus	Metazoa	222	31.0	
Q6Z232	Oryza sativa subsp. japonica	Viridiplantae	146	42.0	
Q20224	Caenorhabditis elegans	Metazoa	161	19.0	
B9A8D7	Crassostrea virginica	Metazoa	85	18.0	
P27275	Amaranthus caudatus	Viridiplantae	86	25.0	
Q4WZ11	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19.0	
Q8T4J9	Manduca sexta	Metazoa	180	15.0	
Q9SLP4	Tulipa saxatilis subsp. bakeri	Viridiplantae	314	26.0	
P0DPZ2	Scolopendra dehaani	Metazoa	101	23.0	
P14946	Lolium perenne	Viridiplantae	263	23.0	
P49125	Latrodectus tredecimguttatus	Metazoa	88	18.0	
Q02942	Blaberus discoidalis	Metazoa	726	16.0	
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22.0	
Q90WJ9	Takifugu pardalis	Metazoa	391	20.0	
P20797	Antheraea polyphemus	Metazoa	163	21.0	
P55847	Penaeus japonicus	Metazoa	105	28.0	
P81295	Juniperus ashei	Viridiplantae	225	26.0	
P81511	Hirudo medicinalis	Metazoa	81	15.0	
P82103	Mytilus galloprovincialis	Metazoa	96	20.0	
Q42656	Coffea arabica	Viridiplantae	378	15.0	
Q56S59	Nicotiana tabacum	Viridiplantae	150	23.0	
Q86R84	Dermatophagoides farinae	Metazoa	462	25.0	
P02230	Chironomus thummi thummi	Metazoa	151	15.0	
P0DUT0	Doratifera vulnerans	Metazoa	46	19.0	
P23438	Canis lupus familiaris	Metazoa	183	17.0	
P39037	Sus scrofa	Metazoa	232	15.0	
P48842	Aspergillus aculeatus	Fungi	350	16.0	
P82187	Equus caballus	Metazoa	185	20.0	
Q5GQ85	Argas reflexus	Metazoa	159	16.0	
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23.0	
P0DPU7	Scolopendra dehaani	Metazoa	78	25.0	
P0DPU9	Myrmecia gulosa	Metazoa	67	25.0	
P27919	Avena sativa	Viridiplantae	214	28.0	
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21.0	
Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22.0	
P86872	Margaritifera margaritifera	Metazoa	260	19.0	
Q0ZS87	Phlebotomus perniciosus	Metazoa	393	18.0	
Q9TT95	Sus scrofa	Metazoa	120	22.0	
E0X9F6	Thaumetopoea pityocampa	Metazoa	126	18.0	
P42579	Lymnaea stagnalis	Metazoa	100	23.0	
Q39962	Hevea brasiliensis	Viridiplantae	238	31.0	
Q9NTK1	Homo sapiens	Metazoa	212		False
Q9BXS1	Homo sapiens	Metazoa	227		False
Q9Y4F3	Homo sapiens	Metazoa	1742		False
Q8N3J2	Homo sapiens	Metazoa	472		False
Q9UMS0	Homo sapiens	Metazoa	254		False
Q8IXP5	Homo sapiens	Metazoa	288		False
Q8WUQ7	Homo sapiens	Metazoa	758		False
Q9BVJ7	Homo sapiens	Metazoa	150		False
Q9NXV2	Homo sapiens	Metazoa	234		False
Q8IXQ6	Homo sapiens	Metazoa	854		False
Q9Y2G2	Homo sapiens	Metazoa	537		False
Q9C000	Homo sapiens	Metazoa	1473		False
Q6GPH4	Homo sapiens	Metazoa	301		False
Q6PI26	Homo sapiens	Metazoa	577		False
O60829	Homo sapiens	Metazoa	102		False
P41252	Homo sapiens	Metazoa	1262		False
Q5VWZ2	Homo sapiens	Metazoa	237		False
O09174	Mus musculus	Metazoa	381		False
Q6XQN6	Homo sapiens	Metazoa	538		False
Q9UPZ3	Homo sapiens	Metazoa	1129		False
P00966	Homo sapiens	Metazoa	412		False
A6NHX0	Homo sapiens	Metazoa	329		False
O94822	Homo sapiens	Metazoa	1766		False
O96007	Homo sapiens	Metazoa	188		False
Q14432	Homo sapiens	Metazoa	1141		True
Q9BRS2	Homo sapiens	Metazoa	568		False
Q9Y3R4	Homo sapiens	Metazoa	380		False
Q9FWA3	Arabidopsis thaliana	Viridiplantae	486		False
Q9BYI3	Homo sapiens	Metazoa	521		False
Q8N2Y8	Homo sapiens	Metazoa	1516		False
Q9BZ67	Homo sapiens	Metazoa	464		False
Q96LW4	Homo sapiens	Metazoa	560		False
O43504	Homo sapiens	Metazoa	91		False
Q92546	Homo sapiens	Metazoa	391		False
Q9NZZ3	Homo sapiens	Metazoa	219		False
Q8TC71	Homo sapiens	Metazoa	538		False
P0C7P0	Homo sapiens	Metazoa	127		False
Q13794	Homo sapiens	Metazoa	54		False
Q9BQP7	Homo sapiens	Metazoa	344		False
P59942	Homo sapiens	Metazoa	119		False
Q9NUJ1	Homo sapiens	Metazoa	306		False
Q9NWQ9	Homo sapiens	Metazoa	140		False
Q9Y5Y5	Homo sapiens	Metazoa	336		True
P35558	Homo sapiens	Metazoa	622		False
Q9HC36	Homo sapiens	Metazoa	420		False
Q12802	Homo sapiens	Metazoa	2813		False
P30047	Homo sapiens	Metazoa	84		False
Q9NPJ1	Homo sapiens	Metazoa	570		False
Q96BM1	Homo sapiens	Metazoa	317		False
Q15650	Homo sapiens	Metazoa	581		False
Q5SYB0	Homo sapiens	Metazoa	1578		False
Q9NVV4	Homo sapiens	Metazoa	582		False
P61221	Homo sapiens	Metazoa	599		False
Q86U90	Homo sapiens	Metazoa	279		False
O95900	Homo sapiens	Metazoa	331		False
Q15120	Homo sapiens	Metazoa	406		False
Q96RQ3	Homo sapiens	Metazoa	725		False
Q53H82	Homo sapiens	Metazoa	288		False
L0R8F8	Homo sapiens	Metazoa	70		False
Q5U5X0	Homo sapiens	Metazoa	104		False
Q86VP3	Homo sapiens	Metazoa	889		False
Q9BPW8	Homo sapiens	Metazoa	284		False
Q7Z412	Homo sapiens	Metazoa	305		False
Q96TA1	Homo sapiens	Metazoa	746		False
Q96M32	Homo sapiens	Metazoa	723		False
O94972	Homo sapiens	Metazoa	964		False
P22033	Homo sapiens	Metazoa	750		False
Q16775	Homo sapiens	Metazoa	308		False
Q13049	Homo sapiens	Metazoa	653		False
Q9Y6N9	Homo sapiens	Metazoa	552		False
Q9Y237	Homo sapiens	Metazoa	131		False
Q9H444	Homo sapiens	Metazoa	224		False
Q2TAL8	Homo sapiens	Metazoa	776		False
Q96BR5	Homo sapiens	Metazoa	231		False
Q9UP83	Homo sapiens	Metazoa	860		False
Q9HC21	Homo sapiens	Metazoa	320		True
Q9URQ3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	322		False
Q6P4H8	Homo sapiens	Metazoa	233		True
Q9BPZ7	Homo sapiens	Metazoa	522		False
Q7L8L6	Homo sapiens	Metazoa	764		False
O94830	Homo sapiens	Metazoa	711		False
A6H8Y1	Homo sapiens	Metazoa	2624		False
O60381	Homo sapiens	Metazoa	514		False
P24278	Homo sapiens	Metazoa	435		False
Q12996	Homo sapiens	Metazoa	717		False
Q15744	Homo sapiens	Metazoa	281		False
Q2TAK8	Homo sapiens	Metazoa	710		False
Q71SY5	Homo sapiens	Metazoa	747		False
Q7Z591	Homo sapiens	Metazoa	1439		False
Q8N5P1	Homo sapiens	Metazoa	291		False
Q8NEM7	Homo sapiens	Metazoa	779		False
Q8TDR4	Homo sapiens	Metazoa	215		False
Q9H0E3	Homo sapiens	Metazoa	1048		False
Q9NQ33	Homo sapiens	Metazoa	181		False
Q9NS37	Homo sapiens	Metazoa	354		False
Q9P2Y4	Homo sapiens	Metazoa	722		False
Q3ZCQ8	Homo sapiens	Metazoa	353		True
P57071	Homo sapiens	Metazoa	1141		False
Q0VG06	Homo sapiens	Metazoa	881		False
Q13029	Homo sapiens	Metazoa	1718		False
Q14CB8	Homo sapiens	Metazoa	494		False
Q15560	Homo sapiens	Metazoa	299		False
Q2M1K9	Homo sapiens	Metazoa	1284		False
Q7Z2Z1	Homo sapiens	Metazoa	1910		False
Q8WWY6	Homo sapiens	Metazoa	194		False
Q8WXX7	Homo sapiens	Metazoa	1259		False
Q96E14	Homo sapiens	Metazoa	147		False
Q96JM7	Homo sapiens	Metazoa	780		False
Q99638	Homo sapiens	Metazoa	391		False
Q9BUI4	Homo sapiens	Metazoa	534		False
Q9GZN2	Homo sapiens	Metazoa	237		False
Q9H9D4	Homo sapiens	Metazoa	720		False
Q9UIL8	Homo sapiens	Metazoa	331		False
Q9UK33	Homo sapiens	Metazoa	172		False
Q9UKL0	Homo sapiens	Metazoa	485		False
Q9UKN8	Homo sapiens	Metazoa	822		False
Q13501	Homo sapiens	Metazoa	440		False
P09118	Rattus norvegicus	Metazoa	303		False
A6NKF2	Homo sapiens	Metazoa	412		False
O60293	Homo sapiens	Metazoa	1989		False
P26358	Homo sapiens	Metazoa	1616		False
P29692	Homo sapiens	Metazoa	281		False
P50548	Homo sapiens	Metazoa	548		False
P61244	Homo sapiens	Metazoa	160		False
Q6IEG0	Homo sapiens	Metazoa	339		False
Q6W2J9	Homo sapiens	Metazoa	1755		False
Q6ZN18	Homo sapiens	Metazoa	517		False
Q7Z6K1	Homo sapiens	Metazoa	395		False
Q86V15	Homo sapiens	Metazoa	1759		False
Q8TAT5	Homo sapiens	Metazoa	605		False
Q8WV22	Homo sapiens	Metazoa	266		False
Q96BN2	Homo sapiens	Metazoa	335		False
Q96DI7	Homo sapiens	Metazoa	357		False
Q9BV90	Homo sapiens	Metazoa	132		False
Q9BXV9	Homo sapiens	Metazoa	100		False
Q9H0E9	Homo sapiens	Metazoa	1235		False
Q9UBC1	Homo sapiens	Metazoa	381		False
P29083	Homo sapiens	Metazoa	439		False
P29374	Homo sapiens	Metazoa	1257		False
P35244	Homo sapiens	Metazoa	121		False
P35269	Homo sapiens	Metazoa	517		False
Q08050	Homo sapiens	Metazoa	763		False
Q15424	Homo sapiens	Metazoa	915		False
Q53HV7	Homo sapiens	Metazoa	270		False
Q6NXG1	Homo sapiens	Metazoa	681		False
Q86XI2	Homo sapiens	Metazoa	1143		False
Q96AH0	Homo sapiens	Metazoa	204		False
O15014	Homo sapiens	Metazoa	1411		False
O43829	Homo sapiens	Metazoa	449		False
O75592	Homo sapiens	Metazoa	4678		False
O94888	Homo sapiens	Metazoa	489		False
P09234	Homo sapiens	Metazoa	159		False
P36957	Homo sapiens	Metazoa	453		False
P49917	Homo sapiens	Metazoa	911		False
Q13562	Homo sapiens	Metazoa	356		False
Q15029	Homo sapiens	Metazoa	972		False
Q15170	Homo sapiens	Metazoa	159		False
Q6PJP8	Homo sapiens	Metazoa	1040		False
Q86VZ6	Homo sapiens	Metazoa	243		False
Q8WX92	Homo sapiens	Metazoa	580		False
Q969S2	Homo sapiens	Metazoa	332		False
Q96M94	Homo sapiens	Metazoa	604		False
Q96QT6	Homo sapiens	Metazoa	1004		False
Q9BQA5	Homo sapiens	Metazoa	517		False
Q9BWC9	Homo sapiens	Metazoa	280		False
Q9GZR1	Homo sapiens	Metazoa	1112		False
Q9H9A7	Homo sapiens	Metazoa	625		False
Q9NQV6	Homo sapiens	Metazoa	1147		False
Q9UID6	Homo sapiens	Metazoa	485		False
P07332	Homo sapiens	Metazoa	822		False
P0CG48	Homo sapiens	Metazoa	685		False
Q6PI48	Homo sapiens	Metazoa	645		False
Q9H902	Homo sapiens	Metazoa	201		True
G5EDP2	Caenorhabditis elegans	Metazoa	412		False
Q96GZ6	Homo sapiens	Metazoa	507		True
Q9BZJ4	Homo sapiens	Metazoa	359		True
Q9UMX3	Homo sapiens	Metazoa	212		False
P18859	Homo sapiens	Metazoa	108		False
Q15388	Homo sapiens	Metazoa	145		True
Q9Y2Z9	Homo sapiens	Metazoa	468		False
Q12887	Homo sapiens	Metazoa	443		False
Q9NPL8	Homo sapiens	Metazoa	285		True
A9UHW6	Homo sapiens	Metazoa	222		False
P16989	Homo sapiens	Metazoa	372		False
P49842	Homo sapiens	Metazoa	254		False
P53804	Homo sapiens	Metazoa	2025		False
Q0PNE2	Homo sapiens	Metazoa	266		False
Q5H9R7	Homo sapiens	Metazoa	873		False
Q6DN90	Homo sapiens	Metazoa	963		False
Q6IBW4	Homo sapiens	Metazoa	605		False
Q6P2D8	Homo sapiens	Metazoa	792		False
Q6ZRQ5	Homo sapiens	Metazoa	1243		False
Q8NAG6	Homo sapiens	Metazoa	615		False
Q8NB78	Homo sapiens	Metazoa	822		False
Q8TE02	Homo sapiens	Metazoa	300		False
Q8WUF5	Homo sapiens	Metazoa	828		False
Q96MB7	Homo sapiens	Metazoa	349		False
Q9H063	Homo sapiens	Metazoa	256		False
Q9H1E3	Homo sapiens	Metazoa	243		False
Q9H3K6	Homo sapiens	Metazoa	86		False
Q9HAV4	Homo sapiens	Metazoa	1204		False
Q9UH92	Homo sapiens	Metazoa	298		False
Q9ULR3	Homo sapiens	Metazoa	514		False
Q9UPR3	Homo sapiens	Metazoa	1016		False
Q9Y508	Homo sapiens	Metazoa	228		False
Q9Y6K9	Homo sapiens	Metazoa	419		False
P04637	Homo sapiens	Metazoa	393		False
H0YL14	Homo sapiens	Metazoa	139		True
O94761	Homo sapiens	Metazoa	1208		False
Q16186	Homo sapiens	Metazoa	407		False
Q5TAQ9	Homo sapiens	Metazoa	597		False
Q8IUR7	Homo sapiens	Metazoa	673		False
Q8N1G0	Homo sapiens	Metazoa	1237		False
Q96AP4	Homo sapiens	Metazoa	578		False
Q96EV2	Homo sapiens	Metazoa	1170		False
Q96SW2	Homo sapiens	Metazoa	442		False
Q9BUK6	Homo sapiens	Metazoa	570		False
P0C5Y9	Homo sapiens	Metazoa	115		False
Q5VTB9	Homo sapiens	Metazoa	566		False
Q6I9Y2	Homo sapiens	Metazoa	204		False
Q92750	Homo sapiens	Metazoa	862		False
Q96LI5	Homo sapiens	Metazoa	555		False
Q96Q15	Homo sapiens	Metazoa	3661		False
Q9GZQ3	Homo sapiens	Metazoa	224		False
Q9H0W9	Homo sapiens	Metazoa	315		False
Q9H832	Homo sapiens	Metazoa	354		False
O95817	Homo sapiens	Metazoa	575		False
P29350	Homo sapiens	Metazoa	595		False
P42166	Homo sapiens	Metazoa	694		False
P57081	Homo sapiens	Metazoa	412		False
Q14166	Homo sapiens	Metazoa	644		False
Q7Z7C8	Homo sapiens	Metazoa	310		False
Q92785	Homo sapiens	Metazoa	391		False
Q96QU8	Homo sapiens	Metazoa	1125		False
Q99627	Homo sapiens	Metazoa	209		False
Q9UL03	Homo sapiens	Metazoa	887		False
O43299	Homo sapiens	Metazoa	807		False
O75689	Homo sapiens	Metazoa	374		False
P28070	Homo sapiens	Metazoa	264		False
P28715	Homo sapiens	Metazoa	1186		False
P30793	Homo sapiens	Metazoa	250		False
P43686	Homo sapiens	Metazoa	418		False
P62750	Homo sapiens	Metazoa	156		False
Q12774	Homo sapiens	Metazoa	1597		False
Q15678	Homo sapiens	Metazoa	1187		False
Q5T7W0	Homo sapiens	Metazoa	954		False
Q8NE35	Homo sapiens	Metazoa	698		False
Q8NFZ0	Homo sapiens	Metazoa	1043		False
Q96F07	Homo sapiens	Metazoa	1278		False
Q96PY6	Homo sapiens	Metazoa	1258		False
Q9BT49	Homo sapiens	Metazoa	309		False
Q9BUA3	Homo sapiens	Metazoa	381		False
Q9H9Q4	Homo sapiens	Metazoa	299		False
Q9NVI1	Homo sapiens	Metazoa	1328		False
Q9UPW6	Homo sapiens	Metazoa	733		False
Q969Z3	Homo sapiens	Metazoa	335		False
O94818	Homo sapiens	Metazoa	638		False
Q15024	Homo sapiens	Metazoa	291		False
Q8NI36	Homo sapiens	Metazoa	895		False
Q96P11	Homo sapiens	Metazoa	429		False
Q9Y4W2	Homo sapiens	Metazoa	734		False
Q9GZN7	Homo sapiens	Metazoa	287		False
Q16635	Homo sapiens	Metazoa	262		False
Q8WXF8	Homo sapiens	Metazoa	326		False
Q96AY2	Homo sapiens	Metazoa	570		False
P36954	Homo sapiens	Metazoa	125		False
Q14690	Homo sapiens	Metazoa	1871		False
Q5QJE6	Homo sapiens	Metazoa	756		False
Q9UMY1	Homo sapiens	Metazoa	257		False
O75324	Homo sapiens	Metazoa	88		True
Q8N8Q8	Homo sapiens	Metazoa	333		False
Q5EBL4	Homo sapiens	Metazoa	403		False
P40121	Homo sapiens	Metazoa	348		False
Q96PZ2	Homo sapiens	Metazoa	611		False
Q9NVH2	Homo sapiens	Metazoa	962		False
Q9Y4R8	Homo sapiens	Metazoa	837		False
P62913	Homo sapiens	Metazoa	178		False
Q12788	Homo sapiens	Metazoa	808		False
Q5H9S7	Homo sapiens	Metazoa	520		False
Q969H6	Homo sapiens	Metazoa	163		False
Q96NY9	Homo sapiens	Metazoa	551		False
P32970	Homo sapiens	Metazoa	193		True
Q9HAB3	Homo sapiens	Metazoa	445		True
Q9NQW8	Homo sapiens	Metazoa	809		False
Q8NCG7	Homo sapiens	Metazoa	672		True
Q9Y3D7	Homo sapiens	Metazoa	125		False
P62993	Homo sapiens	Metazoa	217		False
Q96CA5	Homo sapiens	Metazoa	298		False
Q7RTY1	Homo sapiens	Metazoa	509		True
Q8N5I2	Homo sapiens	Metazoa	433		False
Q9Y6G1	Homo sapiens	Metazoa	99		True
P34981	Homo sapiens	Metazoa	398		True
Q96IZ2	Homo sapiens	Metazoa	230		True
B0L3A2	Homo sapiens	Metazoa	85		True
Q8N2C7	Homo sapiens	Metazoa	3258		False
P12956	Homo sapiens	Metazoa	609		False
Q9Y5L0	Homo sapiens	Metazoa	923		False
P22674	Homo sapiens	Metazoa	350		False
Q02040	Homo sapiens	Metazoa	695		False
